Age,Height (cm),Weight (kg),Sex,Activity Level,Pregnant,Calories (kcal),Protein (g),Carbohydrates (g),Fats (g),Water (L),Vitamin A (mcg),Vitamin B12 (mcg),Vitamin C (mg),Vitamin D (IU),Calcium (mg),Iron (mg),Magnesium (mg),Zinc (mg),Omega-3 (mg)
18,150,45,Male,Sedentary,NULL,1563,54,195.4,43.4,3.7,900,2.4,90,600,1000,8,400,11,250
18,150,45,Male,Moderate,NULL,2018,54,252.2,56.1,3.7,900,2.4,90,600,1000,8,400,11,250
18,150,45,Male,Heavy,NULL,2474,54,309.2,68.7,3.7,900,2.4,90,600,1000,8,400,11,250
18,150,45,Female,Sedentary,0,1363,54,170.4,37.9,3,700,2.4,75,600,1000,18,310,8,250
18,150,45,Female,Sedentary,1,1363,54,170.4,37.9,3.8,770,2.6,85,600,1000,27,350,11,300
18,150,45,Female,Moderate,0,1761,54,220.1,48.9,3,700,2.4,75,600,1000,18,310,8,250
18,150,45,Female,Moderate,1,1761,54,220.1,48.9,3.8,770,2.6,85,600,1000,27,350,11,300
18,150,45,Female,Heavy,0,2159,54,269.9,60,3,700,2.4,75,600,1000,18,310,8,250
18,150,45,Female,Heavy,1,2159,54,269.9,60,3.8,770,2.6,85,600,1000,27,350,11,300
18,150,50,Male,Sedentary,NULL,1623,60,202.9,45.1,3.7,900,2.4,90,600,1000,8,400,11,250
18,150,50,Male,Moderate,NULL,2096,60,262,58.2,3.7,900,2.4,90,600,1000,8,400,11,250
18,150,50,Male,Heavy,NULL,2569,60,321.1,71.4,3.7,900,2.4,90,600,1000,8,400,11,250
18,150,50,Female,Sedentary,0,1423,60,177.9,39.5,3,700,2.4,75,600,1000,18,310,8,250
18,150,50,Female,Sedentary,1,1423,60,177.9,39.5,3.8,770,2.6,85,600,1000,27,350,11,300
18,150,50,Female,Moderate,0,1839,60,229.9,51.1,3,700,2.4,75,600,1000,18,310,8,250
18,150,50,Female,Moderate,1,1839,60,229.9,51.1,3.8,770,2.6,85,600,1000,27,350,11,300
18,150,50,Female,Heavy,0,2254,60,281.8,62.6,3,700,2.4,75,600,1000,18,310,8,250
18,150,50,Female,Heavy,1,2254,60,281.8,62.6,3.8,770,2.6,85,600,1000,27,350,11,300
18,150,55,Male,Sedentary,NULL,1683,66,210.4,46.8,3.7,900,2.4,90,600,1000,8,400,11,250
18,150,55,Male,Moderate,NULL,2173,66,271.6,60.4,3.7,900,2.4,90,600,1000,8,400,11,250
18,150,55,Male,Heavy,NULL,2664,66,333,74,3.7,900,2.4,90,600,1000,8,400,11,250
18,150,55,Female,Sedentary,0,1483,66,185.4,41.2,3,700,2.4,75,600,1000,18,310,8,250
18,150,55,Female,Sedentary,1,1483,66,185.4,41.2,3.8,770,2.6,85,600,1000,27,350,11,300
18,150,55,Female,Moderate,0,1916,66,239.5,53.2,3,700,2.4,75,600,1000,18,310,8,250
18,150,55,Female,Moderate,1,1916,66,239.5,53.2,3.8,770,2.6,85,600,1000,27,350,11,300
18,150,55,Female,Heavy,0,2349,66,293.6,65.2,3,700,2.4,75,600,1000,18,310,8,250
18,150,55,Female,Heavy,1,2349,66,293.6,65.2,3.8,770,2.6,85,600,1000,27,350,11,300
18,150,60,Male,Sedentary,NULL,1743,72,217.9,48.4,3.7,900,2.4,90,600,1000,8,400,11,250
18,150,60,Male,Moderate,NULL,2251,72,281.4,62.5,3.7,900,2.4,90,600,1000,8,400,11,250
18,150,60,Male,Heavy,NULL,2759,72,344.9,76.6,3.7,900,2.4,90,600,1000,8,400,11,250
18,150,60,Female,Sedentary,0,1543,72,192.9,42.9,3,700,2.4,75,600,1000,18,310,8,250
18,150,60,Female,Sedentary,1,1543,72,192.9,42.9,3.8,770,2.6,85,600,1000,27,350,11,300
18,150,60,Female,Moderate,0,1994,72,249.2,55.4,3,700,2.4,75,600,1000,18,310,8,250
18,150,60,Female,Moderate,1,1994,72,249.2,55.4,3.8,770,2.6,85,600,1000,27,350,11,300
18,150,60,Female,Heavy,0,2444,72,305.5,67.9,3,700,2.4,75,600,1000,18,310,8,250
18,150,60,Female,Heavy,1,2444,72,305.5,67.9,3.8,770,2.6,85,600,1000,27,350,11,300
18,150,65,Male,Sedentary,NULL,1803,78,225.4,50.1,3.7,900,2.4,90,600,1000,8,400,11,250
18,150,65,Male,Moderate,NULL,2328,78,291,64.7,3.7,900,2.4,90,600,1000,8,400,11,250
18,150,65,Male,Heavy,NULL,2854,78,356.8,79.3,3.7,900,2.4,90,600,1000,8,400,11,250
18,150,65,Female,Sedentary,0,1603,78,200.4,44.5,3,700,2.4,75,600,1000,18,310,8,250
18,150,65,Female,Sedentary,1,1603,78,200.4,44.5,3.8,770,2.6,85,600,1000,27,350,11,300
18,150,65,Female,Moderate,0,2071,78,258.9,57.5,3,700,2.4,75,600,1000,18,310,8,250
18,150,65,Female,Moderate,1,2071,78,258.9,57.5,3.8,770,2.6,85,600,1000,27,350,11,300
18,150,65,Female,Heavy,0,2539,78,317.4,70.5,3,700,2.4,75,600,1000,18,310,8,250
18,150,65,Female,Heavy,1,2539,78,317.4,70.5,3.8,770,2.6,85,600,1000,27,350,11,300
18,150,70,Male,Sedentary,NULL,1863,84,232.9,51.8,3.7,900,2.4,90,600,1000,8,400,11,250
18,150,70,Male,Moderate,NULL,2406,84,300.8,66.8,3.7,900,2.4,90,600,1000,8,400,11,250
18,150,70,Male,Heavy,NULL,2949,84,368.6,81.9,3.7,900,2.4,90,600,1000,8,400,11,250
18,150,70,Female,Sedentary,0,1663,84,207.9,46.2,3,700,2.4,75,600,1000,18,310,8,250
18,150,70,Female,Sedentary,1,1663,84,207.9,46.2,3.8,770,2.6,85,600,1000,27,350,11,300
18,150,70,Female,Moderate,0,2149,84,268.6,59.7,3,700,2.4,75,600,1000,18,310,8,250
18,150,70,Female,Moderate,1,2149,84,268.6,59.7,3.8,770,2.6,85,600,1000,27,350,11,300
18,150,70,Female,Heavy,0,2634,84,329.2,73.2,3,700,2.4,75,600,1000,18,310,8,250
18,150,70,Female,Heavy,1,2634,84,329.2,73.2,3.8,770,2.6,85,600,1000,27,350,11,300
18,150,75,Male,Sedentary,NULL,1923,90,240.4,53.4,3.7,900,2.4,90,600,1000,8,400,11,250
18,150,75,Male,Moderate,NULL,2483,90,310.4,69,3.7,900,2.4,90,600,1000,8,400,11,250
18,150,75,Male,Heavy,NULL,3044,90,380.5,84.6,3.7,900,2.4,90,600,1000,8,400,11,250
18,150,75,Female,Sedentary,0,1723,90,215.4,47.9,3,700,2.4,75,600,1000,18,310,8,250
18,150,75,Female,Sedentary,1,1723,90,215.4,47.9,3.8,770,2.6,85,600,1000,27,350,11,300
18,150,75,Female,Moderate,0,2226,90,278.2,61.8,3,700,2.4,75,600,1000,18,310,8,250
18,150,75,Female,Moderate,1,2226,90,278.2,61.8,3.8,770,2.6,85,600,1000,27,350,11,300
18,150,75,Female,Heavy,0,2729,90,341.1,75.8,3,700,2.4,75,600,1000,18,310,8,250
18,150,75,Female,Heavy,1,2729,90,341.1,75.8,3.8,770,2.6,85,600,1000,27,350,11,300
18,150,80,Male,Sedentary,NULL,1983,96,247.9,55.1,3.7,900,2.4,90,600,1000,8,400,11,250
18,150,80,Male,Moderate,NULL,2561,96,320.1,71.1,3.7,900,2.4,90,600,1000,8,400,11,250
18,150,80,Male,Heavy,NULL,3139,96,392.4,87.2,3.7,900,2.4,90,600,1000,8,400,11,250
18,150,80,Female,Sedentary,0,1783,96,222.9,49.5,3,700,2.4,75,600,1000,18,310,8,250
18,150,80,Female,Sedentary,1,1783,96,222.9,49.5,3.8,770,2.6,85,600,1000,27,350,11,300
18,150,80,Female,Moderate,0,2304,96,288,64,3,700,2.4,75,600,1000,18,310,8,250
18,150,80,Female,Moderate,1,2304,96,288,64,3.8,770,2.6,85,600,1000,27,350,11,300
18,150,80,Female,Heavy,0,2824,96,353,78.4,3,700,2.4,75,600,1000,18,310,8,250
18,150,80,Female,Heavy,1,2824,96,353,78.4,3.8,770,2.6,85,600,1000,27,350,11,300
18,150,85,Male,Sedentary,NULL,2043,102,255.4,56.8,3.7,900,2.4,90,600,1000,8,400,11,250
18,150,85,Male,Moderate,NULL,2638,102,329.8,73.3,3.7,900,2.4,90,600,1000,8,400,11,250
18,150,85,Male,Heavy,NULL,3234,102,404.2,89.8,3.7,900,2.4,90,600,1000,8,400,11,250
18,150,85,Female,Sedentary,0,1843,102,230.4,51.2,3,700,2.4,75,600,1000,18,310,8,250
18,150,85,Female,Sedentary,1,1843,102,230.4,51.2,3.8,770,2.6,85,600,1000,27,350,11,300
18,150,85,Female,Moderate,0,2381,102,297.6,66.1,3,700,2.4,75,600,1000,18,310,8,250
18,150,85,Female,Moderate,1,2381,102,297.6,66.1,3.8,770,2.6,85,600,1000,27,350,11,300
18,150,85,Female,Heavy,0,2919,102,364.9,81.1,3,700,2.4,75,600,1000,18,310,8,250
18,150,85,Female,Heavy,1,2919,102,364.9,81.1,3.8,770,2.6,85,600,1000,27,350,11,300
18,150,90,Male,Sedentary,NULL,2103,108,262.9,58.4,3.7,900,2.4,90,600,1000,8,400,11,250
18,150,90,Male,Moderate,NULL,2716,108,339.5,75.4,3.7,900,2.4,90,600,1000,8,400,11,250
18,150,90,Male,Heavy,NULL,3329,108,416.1,92.5,3.7,900,2.4,90,600,1000,8,400,11,250
18,150,90,Female,Sedentary,0,1903,108,237.9,52.9,3,700,2.4,75,600,1000,18,310,8,250
18,150,90,Female,Sedentary,1,1903,108,237.9,52.9,3.8,770,2.6,85,600,1000,27,350,11,300
18,150,90,Female,Moderate,0,2459,108,307.4,68.3,3,700,2.4,75,600,1000,18,310,8,250
18,150,90,Female,Moderate,1,2459,108,307.4,68.3,3.8,770,2.6,85,600,1000,27,350,11,300
18,150,90,Female,Heavy,0,3014,108,376.8,83.7,3,700,2.4,75,600,1000,18,310,8,250
